image_id,hard_case
id00501 ,True
id00502 ,True
id00503 ,False
id00504 ,False
id00506 ,False
id00507 ,True
id00508 ,True
id00509 ,True
id00510 ,True
id00512 ,False
id00513 ,True
id00515 ,True
id00519 ,False
id00521 ,True
id00522 ,False
id00523 ,True
id00525 ,False
id00527 ,True
id00534 ,False
id00550 ,True
id00551 ,True
id00552 ,True
id00553 ,True
id00554 ,True
id00555 ,True
id00557 ,True
id00558 ,True
id00561 ,True
id00562 ,True
id00563 ,True
id00565 ,True
id00566 ,True
id00567 ,True
id00568 ,True
id00577 ,False
id00578 ,False
id00579 ,False
id00582 ,False
id00583 ,False
id00584 ,False
id00585 ,True
id00591 ,True
id00592 ,True
id00597 ,False
id00599 ,False
id00602 ,True
id00606 ,True
id00607 ,True
id00608 ,True
id00609 ,True
id00610 ,True
id00611 ,True
id00615 ,True
id00616 ,True
id00617 ,True
id00621 ,False
id00622 ,False
id00623 ,False
id00624 ,True
id00625 ,True
id00626 ,True
id00630 ,True
id00631 ,True
id00632 ,True
id00633 ,False
id00634 ,True
id00639 ,True
id00642 ,False
id00644 ,False
id00647 ,True
id00667 ,True
id00668 ,True
id00671 ,True
id00672 ,True
id00674 ,True
id00676 ,True
id00684 ,True
id00685 ,True
id00686 ,True
id00689 ,False
id00690 ,True
id00692 ,False
id00708 ,True
id00710 ,True
id00714 ,True
id00718 ,False
id00731 ,True
id00734 ,True
id00735 ,True
id00743 ,False
id00747 ,False
id00748 ,True
id00751 ,True
id00752 ,False
id00754 ,True
id00759 ,True
id00762 ,True
id00766 ,True
id00770 ,True
id00772 ,False
id00776 ,True
id00777 ,True
id00781 ,True
id00788 ,True
id00789 ,True
id00791 ,True
id00795 ,True
id00798 ,True
id001   ,False
id002   ,False
id003   ,False
id004   ,False
id005   ,False
id006   ,False
id007   ,False
id008   ,False
id009   ,False
id010   ,False
id011   ,False
id012   ,False
id013   ,False
id014   ,False
id015   ,False
id016   ,False
id017   ,False
id018   ,False
id019   ,False
id020   ,False
id021   ,False
id022   ,False
id023   ,False
id024   ,False
id025   ,False
id026   ,False
id027   ,False
id028   ,False
id029   ,False
id030   ,False
id031   ,False
id032   ,False
id033   ,False
id034   ,False
id035   ,False
id036   ,False
id037   ,False
id038   ,True
id039   ,True
id040   ,False
id041   ,False
id042   ,True
id043   ,False
id044   ,False
id045   ,False
id046   ,False
id047   ,False
id048   ,True
id049   ,False
id050   ,False
id051   ,False
id052   ,False
id053   ,False
id054   ,False
id055   ,False
id056   ,False
id057   ,False
id058   ,False
id059   ,False
id060   ,False
id061   ,False
id062   ,False
id063   ,False
id064   ,False
id065   ,False
id066   ,False
id067   ,False
id068   ,False
id069   ,False
id070   ,False
id071   ,False
id072   ,False
id073   ,False
id074   ,False
id075   ,False
id076   ,True
id077   ,False
id078   ,False
id079   ,True
id080   ,False
id081   ,False
id082   ,True
id083   ,False
id084   ,False
id085   ,False
id086   ,False
id087   ,False
id088   ,False
id089   ,False
id090   ,False
id091   ,False
id092   ,False
id093   ,False
id094   ,False
id095   ,False
id096   ,False
id097   ,True
id098   ,False
id099   ,False
id100   ,True
id101   ,False
id102   ,False
id103   ,False
id104   ,False
id105   ,False
id106   ,False
id107   ,False
id108   ,False
id109   ,False
id110   ,False
id111   ,False
id112   ,False
id113   ,False
id114   ,True
id115   ,False
id116   ,False
id117   ,False
id118   ,False
id119   ,False
id120   ,False
id121   ,False
id122   ,True
id123   ,False
id124   ,False
id125   ,True
id126   ,False
id127   ,False
id128   ,True
id129   ,False
id130   ,False
id132   ,False
id133   ,False
id134   ,False
id135   ,False
id136   ,False
id137   ,False
id138   ,False
id139   ,False
id140   ,False
id141   ,True
id142   ,False
id143   ,False
id144   ,False
id145   ,False
id146   ,False
id147   ,False
id148   ,False
id149   ,False
id150   ,False
id151   ,False
id152   ,True
id153   ,False
id154   ,False
id155   ,False
id156   ,False
id157   ,False
id158   ,False
id159   ,False
id160   ,False
id161   ,False
id162   ,False
id163   ,False
id165   ,False
id166   ,False
id167   ,False
id169   ,False
id170   ,False
id171   ,False
id172   ,False
id173   ,False
id174   ,False
id175   ,False
id176   ,False
id177   ,False
id178   ,False
id179   ,False
id180   ,False
id181   ,False
id182   ,False
id183   ,False
id184   ,False
id185   ,False
id186   ,False
id187   ,False
id188   ,False
id189   ,False
id191   ,False
id193   ,False
id195   ,False
id196   ,False
id197   ,False
id198   ,False
id199   ,False
id200   ,False
id201   ,False
id202   ,False
id203   ,False
id204   ,False
id206   ,False
id207   ,False
id208   ,False
id209   ,False
id210   ,True
id211   ,False
id212   ,False
id213   ,False
id214   ,False
id215   ,False
id216   ,False
id217   ,False
id218   ,True
id219   ,False
id220   ,False
id221   ,False
id222   ,False
id223   ,True
id224   ,False
id225   ,False
id227   ,False
id228   ,False
id229   ,False
id230   ,False
id231   ,False
id232   ,False
id233   ,True
